Semana,Dia,Tema Principal,Subtema,Aula,Link Aula,Link Questões
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,O parto,Assistência ao Parto Normal (parte 1),https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/5ca651e3-a139-4d99-a3c8-1fa7eee4cedc/video/768de159-c888-4819-8c7f-87c588bd2a4b,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/5ca651e3-a139-4d99-a3c8-1fa7eee4cedc/questoes/7a2fb5e0-cae3-4608-876e-198e01166e61
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,O parto,Assistência ao Parto Normal (parte 2),https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/b30306c4-717d-4ebe-9d38-2da51a69a697/video/d1169912-7eba-4452-9df9-95c9641513e4,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/b30306c4-717d-4ebe-9d38-2da51a69a697/questoes/67d59325-9e47-469e-9578-d95afdc95285
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,O parto,(OPCIONAL) Episiotomia,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/ab9f39f2-1e46-42a9-8a2b-b9e847e906cb/video/d70f8c53-a4ee-4205-b79f-eb3272980fa7,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/ab9f39f2-1e46-42a9-8a2b-b9e847e906cb/questoes/8277a114-9b08-4328-8ecf-25bfc1b02dda
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,O parto,(OPCIONAL) Partograma,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/602fa3e4-ffc6-4d5b-a77c-4da7a5fb76a5/video/d9f4e192-18be-4f52-96f8-0c51ddfcf706,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/602fa3e4-ffc6-4d5b-a77c-4da7a5fb76a5/questoes/21ea2e80-ac75-4102-943f-3641f8692b18
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,O parto,(OPCIONAL) Parto Instrumentalizado,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/c24cd2c8-bb02-4693-84eb-6bc25e8088ce/video/003e7034-8620-4c88-80e3-fb9161f7e501,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/c24cd2c8-bb02-4693-84eb-6bc25e8088ce/questoes/6acd4af1-c544-4dbb-93a8-95e4366743cb
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,O parto,(OPCIONAL) Parto Pélvico,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/508e41b3-6df4-4d07-8519-71ea70dc63d0/video/f762de9d-e2d0-4332-b69e-9c85d7956997,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/508e41b3-6df4-4d07-8519-71ea70dc63d0/questoes/5ee3eb1d-3bcf-411b-8be4-e34f9b87d3e4
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,O parto,(OPCIONAL) Distócia de Ombros,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/9d1e9a37-28fc-451d-acd6-99938438ed4f/video/4e029b70-9207-4110-84a7-c8350c85bf40,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/9d1e9a37-28fc-451d-acd6-99938438ed4f/questoes/217f41f3-76d0-4340-a436-12ae149caaf8
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,O parto,(OPCIONAL) Indução de Parto,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/6344093e-0ab2-4e1d-83f2-12b5367f53a1/video/0bd51765-0c25-4811-9464-75930444f17b,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/6344093e-0ab2-4e1d-83f2-12b5367f53a1/questoes/8c754db7-2787-4265-b421-113345feb51a
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,O parto,(OPCIONAL) Fórcipe,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/e6fd5a95-4681-45d1-83dd-e14b762cf8ac/video/806332a3-213a-4a1a-8cd7-08812ef15306,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/e6fd5a95-4681-45d1-83dd-e14b762cf8ac/questoes/bca17ecd-c924-4290-a68e-f9f67205c86d
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,Puerpério,Hemorragias Pós-Parto: Causas,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/0543fabe-6802-410a-9887-697dc83376a6/video/0b429737-022e-41a3-990b-da1cfd0dd906,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/0543fabe-6802-410a-9887-697dc83376a6/questoes/52345e86-22f3-4663-bf01-6b797e52956f
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,Puerpério,Hemorragias Pós-Parto: Tratamento,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/21864e9f-e085-48f4-b0ee-49589368c3f3/video/51ca040d-9282-4f6a-b494-299e673e23fb,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/21864e9f-e085-48f4-b0ee-49589368c3f3/questoes/eb73248d-b2b0-41c3-b8b9-061a28b8f5e3
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,Puerpério,Complicações Infecciosas,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/18e0eedc-8814-4e7e-ab9e-9f63c5a6d05e/video/34481709-3fca-492d-8e9d-cca3a054b2fc,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/18e0eedc-8814-4e7e-ab9e-9f63c5a6d05e/questoes/c14eff32-2621-444f-80fe-2bb9f6455283
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,Puerpério,Puerpério Fisiológico,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/70fb398e-ce9f-4175-ae7f-bdef791e0777/video/e0ef14f9-aedb-47cf-aa95-d6e14ba1dd5b,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/70fb398e-ce9f-4175-ae7f-bdef791e0777/questoes/7e4c98e9-6d05-403b-b400-43637033ba47
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,Puerpério,(OPCIONAL) Metódos Anticoncepcionais no Puerpério,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/2534b09d-7f61-404f-8601-f09bb7a9f464/video/8675bd65-3675-4cdb-8e49-6c2546b8c181,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/2534b09d-7f61-404f-8601-f09bb7a9f464/questoes/f515c067-e447-4b98-99d0-a5f07ded432a
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,Puerpério,(OPCIONAL) Blues Puerperal,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/ffa825af-7999-4de6-b4b2-0d664ed10e30/video/dc12757f-58cf-4d56-8cb1-66ffb1cb87dc,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/ffa825af-7999-4de6-b4b2-0d664ed10e30/questoes/a63251f3-673b-4a68-aabc-f8988abf73d1
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Da Concepção ao Puerpério,Puerpério,(OPCIONAL) Mastite,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/c9effaa4-259e-4c2b-835e-2342290fe725/video/ae88a590-c8d8-4104-8a5b-5a5143753078,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/c9effaa4-259e-4c2b-835e-2342290fe725/questoes/48a577e5-f811-4d82-a625-448ba087775e
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Diabetes e gestação,Diagnóstico,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/fc61f646-fa5d-46ec-acb6-29027f098535/video/f04df050-6744-4652-8096-6d9fc4fb3070,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/fc61f646-fa5d-46ec-acb6-29027f098535/questoes/e31a6d1b-3714-4333-ba97-650860860dc1
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Diabetes e gestação,Diabetes Prévio,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/3472beff-3879-4297-a305-303165dd639f/video/8eb3d872-b5b9-4a0c-9b93-b8e2bb8062db,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/3472beff-3879-4297-a305-303165dd639f/questoes/9d5d13b7-ee5b-43b6-b850-5ec4da7e90a4
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Diabetes e gestação,Tratamento e Metas,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/76b83bb5-fceb-4a14-948d-a5f68cf9dd6c/video/4801af4e-6c70-4d09-9ac4-16366418062d,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/76b83bb5-fceb-4a14-948d-a5f68cf9dd6c/questoes/829ca8d9-01d1-4aef-8001-0411db5ca6b7
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Diabetes e gestação,Insulinização,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/265311ca-c5c6-4e66-ac10-08960d848fb0/video/94ee8155-a3ca-4bae-90c4-0a11f9290918,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/265311ca-c5c6-4e66-ac10-08960d848fb0/questoes/3d242921-407f-4c0c-8fd5-8bb05ed9e683
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças hipertensivas na gestação,Hipertensão Arterial Crônica e Pré-Eclâmpsia Superajuntada,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/6bf64c43-ed0e-4edc-a460-5c95b4583ece/video/f483db10-3553-42aa-9d7c-0a2ef0414325,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/6bf64c43-ed0e-4edc-a460-5c95b4583ece/questoes/fe166794-3dcf-4247-87b5-9dd719b12af5
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças hipertensivas na gestação,Hipertensão Gestacional e Pré-Eclâmpsia,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/76fcbdc7-795a-413b-aae5-3e30e8769609/video/96c97ade-f132-4f55-af93-7acc29df29cc,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/76fcbdc7-795a-413b-aae5-3e30e8769609/questoes/b81cd0aa-0856-4b10-93ed-a3e018bb9afe
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças hipertensivas na gestação,(OPCIONAL) Pré-Eclâmpsia - Fisiopatologia ,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/2c66f0a1-cafc-4cec-83b1-3617fbaaa9ab/video/8826e5a0-4202-4eb9-bae2-0c675763694e,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/2c66f0a1-cafc-4cec-83b1-3617fbaaa9ab/questoes/ae3e0b1c-ff52-4fd6-8b8b-8ba50e60eca3
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças hipertensivas na gestação,Fatores de Risco,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/f6c5e678-5231-45d1-9bca-af392b45e132/video/90d9cb77-4950-4f30-8be9-a80741aa2ae0,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/f6c5e678-5231-45d1-9bca-af392b45e132/questoes/cbad82b4-2c74-4b95-936c-191a0a8d7895
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças hipertensivas na gestação,Prevenção de Pré-Eclâmpsia,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/9e3a6464-db27-4c3e-8d21-c733f74e6830/video/6fb9f169-a3fe-4d52-8aa4-c8ce538f956a,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/9e3a6464-db27-4c3e-8d21-c733f74e6830/questoes/77c94563-427b-48f0-95b9-7057a63e5a9c
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças hipertensivas na gestação,(OPCIONAL) Pré-Eclâmpsia e USG ,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/b94d1cee-b75c-47bf-9262-d6bef6f2718a/video/1873d125-a1e3-4a87-8cf4-8d855075a52e,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/b94d1cee-b75c-47bf-9262-d6bef6f2718a/questoes/9c4c114b-f642-4fe1-9ce8-eda0eecd7722
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças hipertensivas na gestação,Pré-Eclâmpsia com Sinais de Gravidade e Conduta,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/fc1fc510-7544-487d-bd38-7d1f25aaa40e/video/e5131d07-4bfd-493f-a1a7-dd7c27bb5404,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/fc1fc510-7544-487d-bd38-7d1f25aaa40e/questoes/4a706e85-8c92-4784-87cb-741bfa1430ed
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças hipertensivas na gestação,Magnesioterapia,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/a9bb7a90-360e-4f54-b56c-fc78e5258b04/video/8d77421c-becd-4efb-8bb7-60edaba9b5a5,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/a9bb7a90-360e-4f54-b56c-fc78e5258b04/questoes/3f1aa7bf-c9df-4e1b-928e-f74a6b7c37f3
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças hipertensivas na gestação,Síndrome HELLP,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/006a9f4b-2451-459e-9a18-a81a66588ff2/video/22dfa873-99ba-4f8e-91f6-42f79fcf0862,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/006a9f4b-2451-459e-9a18-a81a66588ff2/questoes/cac6c687-db25-4b78-bc93-9290c0301d1b
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças hipertensivas na gestação,Eclâmpsia,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/91752e80-01dc-4d98-af12-39563173e691/video/ccfe4876-644b-4e17-9a5d-670eadaaebe6,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/91752e80-01dc-4d98-af12-39563173e691/questoes/7f5b6df4-9b72-4dfb-a603-482178a09734
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças hipertensivas na gestação,Resumo das Formas Clínicas,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/a9cc7c88-3cf3-4f29-bff5-35dd215a8c81/video/0e31818e-f0b7-42c1-a2dc-4112e08da332,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/a9cc7c88-3cf3-4f29-bff5-35dd215a8c81/questoes/d14bcf51-74cd-4076-8382-ea571836461a
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças intercorrentes na gestação,Infecções do Trato Urinário,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/d198c246-56c0-4d65-8bc9-54ec9cc66ae5/video/e2222e48-04bb-4be7-a97f-c55c5b8e5867,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/d198c246-56c0-4d65-8bc9-54ec9cc66ae5/questoes/f83037c6-9d5a-4662-a93b-7a1b6dbc6030
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças intercorrentes na gestação,(OPCIONAL) Infecções (Parte 1) ,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/f85489f1-f9c7-42d4-a9b0-2431fe404cae/video/9a6cc4c1-992e-4152-a98f-69776ebc2c42,
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças intercorrentes na gestação,(OPCIONAL) Infecções (Parte 2),https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/235fc5c1-a5f7-490a-898c-f840b49a3b1c/video/b3048e73-3c38-49ca-8bc0-3548e4720b6d,
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças intercorrentes na gestação,Doença Hemolítica Perinatal: Rastreamento,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/007c3ac0-15fb-4259-8409-09e1e43a14c5/video/341c6473-a805-4c44-8104-9dddedd588fb,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/007c3ac0-15fb-4259-8409-09e1e43a14c5/questoes/68a2e487-3276-446d-aea5-3005a50c05a6
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças intercorrentes na gestação,Doença Hemolítica Perinatal: Profilaxia,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/a197a859-9fc5-419d-9815-c42d863affce/video/0fb68a13-29ae-4946-826c-b27cccd08357,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/a197a859-9fc5-419d-9815-c42d863affce/questoes/96c6be6f-238c-444b-b8d2-199e37164b1b
Semana 01 (11/08-17/08),Dia 1 - Ginecologia e Obstetrícia,Intercorrências Clínicas na Gestação,Doenças intercorrentes na gestação,Doença Hemolítica Perinatal: Conduta,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/07273840-b9e6-482c-b7b9-4313c2a045be/video/62da7160-47d9-453b-869f-4086e9531282,https://sanarflix.sanar.com.br/portal/sala-de-aula/dd7457cb-72e3-44b6-b794-8e927f3e4d88/07273840-b9e6-482c-b7b9-4313c2a045be/questoes/73eac516-ead2-41e6-80ec-4cf5ccec108c
